text,sentiment,race,category
Ducked off somewhere,Positive,Positive,pos_pos
Bye twitter....,Positive,Positive,pos_pos
tripping over hoes nawl never keep my shoes untied,Positive,Positive,pos_pos
I can b a mean little bitch when I want too,Positive,Positive,pos_pos
I miss my shawty 🅰1⃣,Positive,Positive,pos_pos
“@bximCO: @_ISmokeGrapez must miss me”no,Positive,Positive,pos_pos
Wu-Tang clan ain't nothing to fuck with,Positive,Positive,pos_pos
Send emojis ✊,Positive,Positive,pos_pos
&lt;&lt;&lt; this is the devil,Positive,Positive,pos_pos
@_KissMyClip Don't let these Dimples fool ya Boo...,Positive,Positive,pos_pos
The Whole School On Star,Positive,Positive,pos_pos
Lol My Header &gt;&gt;&gt;&gt;,Positive,Positive,pos_pos
"\She relentless when she eat me up &amp; she don't spit"" -Starlito""",Positive,Positive,pos_pos
Going crazy tonight!!!,Positive,Positive,pos_pos
I know you will  muuhahahaaaa,Positive,Positive,pos_pos
“@_BadGalNiya: AYEEE Shae!”yaaknoo,Positive,Positive,pos_pos
“@Pink_Religion: Niggas always think Ima talk to them regardless of my boyfriend.  fuck that I love my baby ”✊,Positive,Positive,pos_pos
Riding w. my nigga @KvngCole,Positive,Positive,pos_pos
When u a #stoner all tht matters is gettin stoned... ⛽️,Positive,Positive,pos_pos
"\@1Muhlah: Don't be mad at me cuz I turnt yo bitch to a fan ""h""",Positive,Positive,pos_pos
Im on that good kush and alcohol,Positive,Positive,pos_pos
"\@Fahhlalala: ima bet jasmin &amp;ashley something crazy if campus win Friday """"",Positive,Positive,pos_pos
*dark corner thinking*,Positive,Positive,pos_pos
I Can't Wait To Go Back To Florida✈,Positive,Positive,pos_pos
I touch her soul wen i hit that pussy frm the back,Positive,Positive,pos_pos
boutta fuck sum shit up,Positive,Positive,pos_pos
Good morning y'all,Positive,Positive,pos_pos
Catch a OOP my Lil niggas offin,Positive,Positive,pos_pos
"“@pardonMyFLASK_: @thugjones_ - make me lean ova n cough on yo ass, u kno I'm evil .” We gone box",Positive,Positive,pos_pos
Bitched be on my dick cause they know I be on sine shit if they ain't fucking or sucking don't even jump in the wip,Positive,Positive,pos_pos
Dtfl most definitely dont @asapelda,Positive,Positive,pos_pos
@CHINNIE13 that is a dope tee tho. I'm purple with envy,Positive,Positive,pos_pos
Run ya bandz Up,Positive,Positive,pos_pos
"Cant just go running back B , thats where I'll fuck up at.. This shit aint new too me .. I know how the game go!",Positive,Positive,pos_pos
